Lon Lat sand clay silt orgc ph bulkdensity cn soilc depth awc bedrockfrac
-61.8750 87.8638 0.4735 0.2346 0.2919 0.00000 6.473 1500.0 12.0 0.0000 0.2943 35.91 0.1551
-59.0625 87.8638 0.4740 0.2339 0.2920 0.00000 6.485 1500.0 12.0 0.0000 0.3052 37.23 0.1526
-56.2500 87.8638 0.4785 0.2281 0.2935 0.00000 6.560 1500.0 12.0 0.0000 0.3221 39.24 0.1342
-53.4375 87.8638 0.4811 0.2246 0.2943 0.00000 6.603 1500.0 12.0 0.0000 0.3329 40.52 0.1235
-50.6250 87.8638 0.4847 0.2200 0.2953 0.00000 6.655 1500.0 12.0 0.0000 0.3353 40.77 0.1096
-47.8125 87.8638 0.4859 0.2183 0.2957 0.00000 6.672 1500.0 12.0 0.0000 0.3391 41.21 0.1047
-45.0000 87.8638 0.4956 0.2057 0.2986 0.00000 6.778 1500.0 12.0 0.0000 0.2303 27.90 0.0672
-42.1875 87.8638 0.4929 0.2093 0.2978 0.00000 6.755 1500.0 12.0 0.0000 0.2723 33.02 0.0775
-39.3750 87.8638 0.4904 0.2125 0.2971 0.00000 6.729 1500.0 12.0 0.0000 0.3266 39.65 0.0871
-36.5625 87.8638 0.4884 0.2151 0.2965 0.00000 6.708 1500.0 12.0 0.0000 0.3631 44.09 0.0947
-33.7500 87.8638 0.4842 0.2206 0.2952 0.00000 6.656 1500.0 12.0 0.0000 0.4048 49.23 0.1110
-30.9375 87.8638 0.4854 0.2191 0.2956 0.00000 6.671 1500.0 12.0 0.0000 0.4098 49.82 0.1067
-28.1250 87.8638 0.4869 0.2170 0.2961 0.00000 6.692 1500.0 12.0 0.0000 0.4114 49.99 0.1004
-25.3125 87.8638 0.4908 0.2119 0.2972 0.00000 6.737 1500.0 12.0 0.0000 0.4453 54.04 0.0851
-22.5000 87.8638 0.4893 0.2140 0.2968 0.00000 6.720 1500.0 12.0 0.0000 0.4100 49.78 0.0913
-19.6875 87.8638 0.4886 0.2149 0.2966 0.00000 6.713 1500.0 12.0 0.0000 0.4332 52.61 0.0940
-16.8750 87.8638 0.4902 0.2128 0.2970 0.00000 6.730 1500.0 12.0 0.0000 0.4218 51.20 0.0879
-11.2500 87.8638 0.4908 0.2120 0.2972 0.00000 6.737 1500.0 12.0 0.0000 0.4375 53.09 0.0855
-8.4375 87.8638 0.4900 0.2130 0.2970 0.00000 6.730 1500.0 12.0 0.0000 0.4710 57.17 0.0883
-5.6250 87.8638 0.4912 0.2114 0.2973 0.00000 6.742 1500.0 12.0 0.0000 0.4597 55.79 0.0839
-2.8125 87.8638 0.4916 0.2110 0.2975 0.00000 6.745 1500.0 12.0 0.0000 0.4683 56.81 0.0825
39.3750 85.0965 0.6133 0.1461 0.2406 0.00000 6.566 1500.0 12.0 0.0000 1.7170 188.95 0.0628
42.1875 85.0965 0.6557 0.1249 0.2194 0.00000 6.480 1500.0 12.0 0.0000 2.3969 254.11 0.0628
45.0000 85.0965 0.6424 0.1315 0.2261 0.00000 6.507 1500.0 12.0 0.0000 2.0519 220.13 0.0628
47.8125 85.0965 0.6486 0.1284 0.2230 0.00000 6.495 1500.0 12.0 0.0000 1.9894 212.25 0.0628
50.6250 85.0965 0.6580 0.1237 0.2183 0.00000 6.476 1500.0 12.0 0.0000 2.0027 211.88 0.0628
53.4375 85.0965 0.6616 0.1219 0.2165 0.00000 6.468 1500.0 12.0 0.0000 1.9272 203.24 0.0628
