Lon Lat sand clay silt orgc ph bulkdensity cn soilc depth awc bedrockfrac andic pfixation
163.1250 80.2688 0.4521 0.2127 0.3351 0.00000 7.341 1500.0 12.0 0.0000 0.2071 26.17 0.0628 0.0000 0.0004
168.7500 80.2688 0.4466 0.2201 0.3332 0.00000 7.269 1500.0 12.0 0.0000 0.1856 23.49 0.0628 0.0000 0.0002
174.3750 80.2688 0.3961 0.2539 0.3500 0.00000 7.618 1500.0 12.0 0.0000 0.1506 19.69 0.0628 0.0000 0.0003
180.0000 80.2688 0.3984 0.2510 0.3506 0.00000 7.406 1500.0 12.0 0.0000 0.1414 18.47 0.0628 0.0000 0.0001
-174.3750 80.2688 0.4929 0.1963 0.3108 0.00000 7.178 1500.0 12.0 0.0000 0.1217 14.88 0.0628 0.0000 0.0004
-168.7500 80.2688 0.4177 0.2463 0.3360 0.00000 7.250 1500.0 12.0 0.0000 0.0503 10.00 0.0628 0.0000 0.0003
-163.1250 80.2688 0.3916 0.2605 0.3478 0.00000 7.416 1500.0 12.0 0.0000 0.0297 10.00 0.0628 0.0000 0.0000
-146.2500 80.2688 0.4967 0.1967 0.3066 0.00000 7.050 1500.0 12.0 0.0000 0.0590 10.00 0.0628 0.0000 0.0000
-140.6250 80.2688 0.4312 0.2350 0.3338 0.00000 7.020 1500.0 12.0 0.0000 0.0342 10.00 0.0628 0.0000 0.0000
-135.0000 80.2688 0.4096 0.2545 0.3359 0.00000 7.171 1500.0 12.0 0.0000 0.0306 10.00 0.0628 0.0000 0.0000
-129.3750 80.2688 0.4154 0.2454 0.3392 0.00000 7.120 1500.0 12.0 0.0000 0.0333 10.00 0.0628 0.0000 0.0000
-118.1250 80.2688 0.5488 0.1614 0.2897 0.00000 6.630 1500.0 12.0 0.0000 0.1296 15.20 0.0628 0.0000 0.0000
-112.5000 80.2688 0.4742 0.2008 0.3250 0.00000 7.414 1499.9 12.0 0.0000 0.1539 19.14 0.0628 0.0000 0.0006
-106.8750 80.2688 0.3833 0.2498 0.3668 0.00000 7.559 1499.9 12.0 0.0000 0.2050 27.20 0.0628 0.0000 0.0006
-101.2500 80.2688 0.4536 0.2342 0.3122 0.00000 7.999 1500.0 12.0 0.0000 0.2538 31.63 0.0628 0.0000 0.0000
-95.6250 80.2688 0.4194 0.2553 0.3254 0.00000 8.431 1500.0 12.0 0.0000 0.2512 32.06 0.0628 0.0000 0.0000
-90.0000 80.2688 0.4949 0.2111 0.2940 0.00000 7.785 1500.0 12.0 0.0000 0.3423 41.38 0.0628 0.0000 0.0000
-84.3750 80.2688 0.5298 0.1883 0.2819 0.00000 6.971 1500.0 12.0 0.0000 0.2604 30.71 0.0628 0.0000 0.0000
-78.7500 80.2688 0.4417 0.2437 0.3146 0.00000 7.447 1500.0 12.0 0.0000 0.1303 16.35 0.0628 0.0000 0.0000
-73.1250 80.2688 0.4973 0.2032 0.2996 0.00000 6.809 1500.0 12.0 0.0000 0.1085 13.14 0.0628 0.0000 0.0000
-56.2500 80.2688 0.5837 0.1562 0.2601 0.00000 6.645 1500.0 12.0 0.0000 0.2095 23.71 0.0628 0.0000 0.0000
-50.6250 80.2688 0.6694 0.1097 0.2209 0.00000 6.484 1500.0 12.0 0.0000 0.2816 29.65 0.0628 0.0000 0.0000
-45.0000 80.2688 0.7055 0.0901 0.2044 0.00000 6.419 1500.0 12.0 0.0000 0.2850 29.06 0.0628 0.0000 0.0000
61.8750 74.7445 0.4274 0.2315 0.3411 0.00000 7.421 1500.0 12.0 0.0000 0.3095 39.69 0.0628 0.0000 0.0004
