Lon Lat b theta_s theta_fc theta_wp awc_mm evaporable_mm u00 u01 u02 u03 u04 u05 u06 u07 u08 u09 u10 u11 u12 u13 u14
-106.8750 85.7606 5.95456 0.426719 0.306135 0.136862 26.939 28.889 0.712280 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-101.2500 85.7606 6.17873 0.426776 0.309602 0.142515 26.920 29.007 0.731961 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-95.6250 85.7606 5.21822 0.413513 0.266457 0.106332 27.390 29.157 0.831304 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-90.0000 85.7606 5.85810 0.422138 0.295360 0.130307 27.289 29.306 0.774135 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-84.3750 85.7606 5.34446 0.415014 0.271966 0.110911 28.862 30.887 0.912840 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-78.7500 85.7606 5.54879 0.417629 0.281028 0.118455 27.473 29.394 0.810686 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-73.1250 85.7606 6.44673 0.429655 0.319099 0.151701 22.593 24.021 0.470482 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-67.5000 85.7606 6.88172 0.434652 0.334457 0.166654 22.506 24.047 0.462047 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-61.8750 85.7606 6.83074 0.433674 0.331907 0.164526 23.815 25.603 0.543584 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-56.2500 85.7606 7.36310 0.440696 0.351585 0.183351 22.328 23.971 0.447989 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-50.6250 85.7606 7.50165 0.442796 0.357086 0.188473 21.588 23.100 0.401129 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
