Lon Lat sand clay silt orgc ph bulkdensity cn soilc depth awc bedrockfrac andic pfixation
61.8750 74.7445 0.4274 0.2315 0.3411 0.00000 7.397 1500.0 12.0 0.0000 0.3696 47.40 0.0628 0.0000 0.0004
67.5000 74.7445 0.5018 0.1733 0.3249 0.00000 7.156 1499.8 12.0 0.0000 0.5309 65.12 0.0628 0.0001 0.0014
73.1250 74.7445 0.5250 0.1934 0.2816 0.00000 7.391 1500.0 12.0 0.0000 0.6473 76.52 0.0628 0.0000 0.0003
78.7500 74.7445 0.4367 0.2536 0.3097 0.00000 8.082 1500.0 12.0 0.0000 0.4224 53.00 0.0628 0.0000 0.0000
84.3750 74.7445 0.3944 0.2735 0.3320 0.00000 7.926 1500.0 12.0 0.0000 0.1849 23.96 0.0628 0.0000 0.0000
90.0000 74.7445 0.3854 0.2787 0.3360 0.00000 8.003 1500.0 12.0 0.0000 0.1824 23.79 0.0628 0.0000 0.0000
95.6250 74.7445 0.3318 0.3072 0.3610 0.00000 8.635 1500.0 12.0 0.0000 0.1189 16.10 0.0628 0.0000 0.0000
101.2500 74.7445 0.3531 0.2907 0.3562 0.00000 8.426 1500.0 12.0 0.0000 0.0933 12.48 0.0628 0.0000 0.0000
106.8750 74.7445 0.3700 0.2798 0.3501 0.00000 8.241 1500.0 12.0 0.0000 0.0805 10.65 0.0628 0.0000 0.0000
112.5000 74.7445 0.3453 0.2948 0.3599 0.00000 8.518 1500.0 12.0 0.0000 0.0741 10.00 0.0628 0.0000 0.0000
118.1250 74.7445 0.3436 0.2901 0.3662 0.00000 8.223 1500.0 12.0 0.0000 0.0756 10.20 0.0628 0.0000 0.0000
123.7500 74.7445 0.3137 0.3056 0.3808 0.00000 8.410 1500.0 12.0 0.0000 0.0793 10.94 0.0628 0.0000 0.0000
129.3750 74.7445 0.3413 0.2949 0.3638 0.00000 8.407 1500.0 12.0 0.0000 0.0786 10.62 0.0628 0.0000 0.0000
135.0000 74.7445 0.4167 0.2549 0.3284 0.00000 7.672 1500.0 12.0 0.0000 0.0735 10.00 0.0628 0.0000 0.0000
140.6250 74.7445 0.4525 0.2312 0.3163 0.00000 7.311 1500.0 12.0 0.0000 0.0704 10.00 0.0628 0.0000 0.0000
146.2500 74.7445 0.5166 0.1982 0.2853 0.00000 7.305 1500.0 12.0 0.0000 0.2145 25.52 0.0628 0.0000 0.0000
151.8750 74.7445 0.5756 0.1654 0.2590 0.00000 7.320 1500.0 12.0 0.0000 0.3859 43.83 0.0628 0.0000 0.0000
