Lon Lat b theta_s theta_fc theta_wp awc_mm evaporable_mm u00 u01 u02 u03 u04 u05 u06 u07 u08 u09 u10 u11 u12 u13 u14
-78.7500 85.7606 5.63769 0.418633 0.284625 0.121617 27.119 29.027 0.784444 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-73.1250 85.7606 6.44673 0.429655 0.319099 0.151701 22.515 23.928 0.465796 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-67.5000 85.7606 6.88172 0.434652 0.334457 0.166654 22.428 23.952 0.457361 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-61.8750 85.7606 6.83074 0.433674 0.331907 0.164526 23.736 25.510 0.538898 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-56.2500 85.7606 7.36310 0.440696 0.351585 0.183351 22.280 23.913 0.445178 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-50.6250 85.7606 7.50165 0.442796 0.357086 0.188473 21.572 23.081 0.400192 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-45.0000 85.7606 7.19133 0.439303 0.347120 0.178230 23.776 25.660 0.528588 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-39.3750 85.7606 6.64118 0.432822 0.327953 0.159342 25.112 27.056 0.610125 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
50.6250 80.2688 6.59353 0.433419 0.328587 0.158820 35.944 39.120 1.000000 0.300849 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
56.2500 80.2688 6.24356 0.432817 0.322853 0.149817 48.329 51.325 1.000000 0.976570 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
61.8750 80.2688 5.94478 0.428812 0.310277 0.138530 52.507 55.278 1.000000 1.000000 0.303660 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
67.5000 80.2688 6.62822 0.437890 0.338212 0.164095 64.785 68.067 1.000000 1.000000 0.967198 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
73.1250 80.2688 7.38500 0.444341 0.359221 0.187696 55.896 59.650 1.000000 1.000000 0.505158 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
78.7500 80.2688 6.54301 0.434152 0.329467 0.158353 58.231 61.399 1.000000 1.000000 0.649487 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
84.3750 80.2688 6.26960 0.431700 0.320897 0.149384 54.220 57.208 1.000000 1.000000 0.407690 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
90.0000 80.2688 6.37343 0.431555 0.321988 0.151771 33.758 36.793 1.000000 0.166829 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
95.6250 80.2688 6.36601 0.431030 0.320819 0.151087 31.355 34.281 0.968135 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
