Lon Lat sand clay silt orgc ph bulkdensity cn soilc depth awc bedrockfrac
-106.8750 87.8638 0.3708 0.2573 0.3720 0.00000 6.944 1500.0 12.0 0.0000 0.1992 26.66 0.0628
-104.0625 87.8638 0.3778 0.2506 0.3716 0.00000 6.782 1500.0 12.0 0.0000 0.2480 33.08 0.0628
-101.2500 87.8638 0.4332 0.2237 0.3431 0.00000 6.656 1500.0 12.0 0.0000 0.3108 39.79 0.0628
-98.4375 87.8638 0.4310 0.2219 0.3471 0.00000 6.574 1500.0 12.0 0.0000 0.3067 39.39 0.0628
-95.6250 87.8638 0.3694 0.2510 0.3796 0.00000 6.650 1500.0 12.0 0.0000 0.2265 30.44 0.0628
-92.8125 87.8638 0.3383 0.2725 0.3892 0.00000 6.842 1500.0 12.0 0.0000 0.2698 36.94 0.0628
-90.0000 87.8638 0.4098 0.2486 0.3416 0.00000 7.153 1500.0 12.0 0.0000 0.2345 30.33 0.0628
-87.1875 87.8638 0.3925 0.2714 0.3361 0.00000 8.034 1500.0 12.0 0.0000 0.1574 20.46 0.0628
-84.3750 87.8638 0.4946 0.2062 0.2991 0.00000 6.915 1500.0 12.0 0.0000 0.2006 24.32 0.0628
-81.5625 87.8638 0.5079 0.2021 0.2900 0.00000 7.360 1500.0 12.0 0.0000 0.1612 19.32 0.0628
-78.7500 87.8638 0.5277 0.1878 0.2844 0.00000 6.831 1500.0 12.0 0.0000 0.1376 16.27 0.0628
-75.9375 87.8638 0.4760 0.2160 0.3080 0.00000 7.111 1500.0 12.0 0.0000 0.1272 15.65 0.0628
-73.1250 87.8638 0.4805 0.2127 0.3067 0.00000 7.005 1500.0 12.0 0.0000 0.1287 15.78 0.0628
-70.3125 87.8638 0.4294 0.2433 0.3273 0.00000 7.584 1500.0 12.0 0.0000 0.1247 15.86 0.0628
-67.5000 87.8638 0.3788 0.2758 0.3454 0.00000 8.137 1500.0 12.0 0.0000 0.1222 16.06 0.0628
-64.6875 87.8638 0.3376 0.2985 0.3639 0.00000 8.616 1500.0 12.0 0.0000 0.1230 16.63 0.0628
-61.8750 87.8638 0.3097 0.3210 0.3693 0.00000 8.877 1500.0 12.0 0.0000 0.1261 17.32 0.0628
-59.0625 87.8638 0.3154 0.3328 0.3518 0.00000 8.690 1500.0 12.0 0.0000 0.1240 16.82 0.0628
-56.2500 87.8638 0.2693 0.3608 0.3699 0.00000 9.204 1500.0 12.0 0.0000 0.1250 17.47 0.0628
-53.4375 87.8638 0.2720 0.3592 0.3688 0.00000 9.172 1500.0 12.0 0.0000 0.1289 17.98 0.0628
-50.6250 87.8638 0.2755 0.3484 0.3761 0.00000 9.202 1500.0 12.0 0.0000 0.1361 19.03 0.0628
-47.8125 87.8638 0.2912 0.3462 0.3626 0.00000 8.968 1500.0 12.0 0.0000 0.1376 18.98 0.0628
-45.0000 87.8638 0.2570 0.3749 0.3681 0.00000 9.287 1500.0 12.0 0.0000 0.1357 19.04 0.0628
-42.1875 87.8638 0.3029 0.3200 0.3771 0.00000 8.989 1500.0 12.0 0.0000 0.1556 21.50 0.0628
-39.3750 87.8638 0.3834 0.2715 0.3451 0.00000 8.086 1500.0 12.0 0.0000 0.1677 21.99 0.0628
-36.5625 87.8638 0.3253 0.3065 0.3681 0.00000 8.737 1500.0 12.0 0.0000 0.1667 22.71 0.0628
-33.7500 87.8638 0.4356 0.2401 0.3243 0.00000 7.501 1500.0 12.0 0.0000 0.1829 23.15 0.0628
-30.9375 87.8638 0.4126 0.2539 0.3335 0.00000 7.759 1500.0 12.0 0.0000 0.1849 23.78 0.0628
-28.1250 87.8638 0.3955 0.2642 0.3403 0.00000 7.951 1500.0 12.0 0.0000 0.1887 24.55 0.0628
-25.3125 87.8638 0.3494 0.2920 0.3586 0.00000 8.466 1500.0 12.0 0.0000 0.1897 25.44 0.0628
-22.5000 87.8638 0.3935 0.2654 0.3411 0.00000 7.972 1500.0 12.0 0.0000 0.2006 26.13 0.0628
-19.6875 87.8638 0.4429 0.2357 0.3215 0.00000 7.420 1500.0 12.0 0.0000 0.2130 26.83 0.0628
-16.8750 87.8638 0.4161 0.2518 0.3321 0.00000 7.719 1500.0 12.0 0.0000 0.2165 27.78 0.0628
-11.2500 87.8638 0.4696 0.2196 0.3108 0.00000 7.121 1500.0 12.0 0.0000 0.2389 29.53 0.0628
-8.4375 87.8638 0.4982 0.2024 0.2994 0.00000 6.800 1500.0 12.0 0.0000 0.2527 30.60 0.0628
-5.6250 87.8638 0.4982 0.2023 0.2994 0.00000 6.800 1500.0 12.0 0.0000 0.2615 31.66 0.0628
-2.8125 87.8638 0.4982 0.2024 0.2994 0.00000 6.800 1500.0 12.0 0.0000 0.2722 32.96 0.0628
39.3750 85.0965 0.6145 0.1446 0.2409 0.00000 6.566 1500.0 12.0 0.0000 1.3634 149.96 0.0628
42.1875 85.0965 0.6569 0.1235 0.2196 0.00000 6.480 1500.0 12.0 0.0000 1.8610 197.19 0.0628
45.0000 85.0965 0.5928 0.1657 0.2415 0.00000 6.833 1500.0 12.0 0.0000 1.3382 149.00 0.0628
47.8125 85.0965 0.5226 0.2170 0.2604 0.00000 7.360 1500.0 12.0 0.0000 1.0080 117.80 0.0628
50.6250 85.0965 0.4868 0.2402 0.2730 0.00000 7.614 1500.0 12.0 0.0000 0.8431 101.09 0.0628
53.4375 85.0965 0.5189 0.2110 0.2701 0.00000 7.443 1500.0 12.0 0.0000 0.8768 103.26 0.0628
56.2500 85.0965 0.6487 0.1276 0.2237 0.00000 6.497 1500.0 12.0 0.0000 1.2898 137.67 0.0628
59.0625 85.0965 0.6500 0.1270 0.2231 0.00000 6.494 1500.0 12.0 0.0000 1.2303 131.17 0.0628
61.8750 85.0965 0.6195 0.1442 0.2364 0.00000 6.733 1500.0 12.0 0.0000 1.0390 113.64 0.0628
64.6875 85.0965 0.5781 0.1675 0.2544 0.00000 7.057 1500.0 12.0 0.0000 0.8624 97.55 0.0628
67.5000 85.0965 0.5010 0.2104 0.2885 0.00000 7.621 1500.0 12.0 0.0000 0.6516 78.28 0.0628
70.3125 85.0965 0.4416 0.2423 0.3161 0.00000 7.946 1500.0 12.0 0.0000 0.5195 65.26 0.0628
73.1250 85.0965 0.3941 0.2670 0.3389 0.00000 8.133 1500.0 12.0 0.0000 0.4358 56.70 0.0628
75.9375 85.0965 0.3275 0.3078 0.3646 0.00000 8.940 1500.0 12.0 0.0000 0.4261 57.90 0.0628
78.7500 85.0965 0.3200 0.3103 0.3696 0.00000 8.849 1500.0 12.0 0.0000 0.4041 55.23 0.0628
81.5625 85.0965 0.3962 0.2652 0.3386 0.00000 8.061 1500.0 12.0 0.0000 0.4415 57.36 0.0628
84.3750 85.0965 0.4491 0.2326 0.3183 0.00000 7.410 1500.0 12.0 0.0000 0.4622 57.92 0.0628
87.1875 85.0965 0.3952 0.2644 0.3404 0.00000 7.954 1500.0 12.0 0.0000 0.4618 60.09 0.0628
90.0000 85.0965 0.4205 0.2492 0.3304 0.00000 7.671 1500.0 12.0 0.0000 0.4430 56.66 0.0628
92.8125 85.0965 0.3954 0.2643 0.3404 0.00000 7.953 1500.0 12.0 0.0000 0.4115 53.53 0.0628
95.6250 85.0965 0.4119 0.2570 0.3311 0.00000 7.745 1500.0 12.0 0.0000 0.3917 50.32 0.0628
98.4375 85.0965 0.4042 0.2623 0.3335 0.00000 7.826 1500.0 12.0 0.0000 0.3715 47.96 0.0628
101.2500 85.0965 0.4383 0.2491 0.3126 0.00000 7.385 1500.0 12.0 0.0000 0.3551 44.59 0.0628
104.0625 85.0965 0.4558 0.2352 0.3090 0.00000 7.216 1500.0 12.0 0.0000 0.3514 43.67 0.0628
106.8750 85.0965 0.4982 0.2024 0.2994 0.00000 6.800 1500.0 12.0 0.0000 0.3614 43.75 0.0628
109.6875 85.0965 0.4911 0.2066 0.3022 0.00000 6.879 1500.0 12.0 0.0000 0.3550 43.20 0.0628
112.5000 85.0965 0.4394 0.2378 0.3228 0.00000 7.458 1500.0 12.0 0.0000 0.3431 43.31 0.0628
115.3125 85.0965 0.4273 0.2450 0.3276 0.00000 7.593 1500.0 12.0 0.0000 0.3439 43.78 0.0628
118.1250 85.0965 0.3878 0.2689 0.3433 0.00000 8.036 1500.0 12.0 0.0000 0.3438 44.96 0.0628
120.9375 85.0965 0.3503 0.3042 0.3455 0.00000 8.354 1500.0 12.0 0.0000 0.3350 44.61 0.0628
123.7500 85.0965 0.3643 0.2947 0.3410 0.00000 8.207 1500.0 12.0 0.0000 0.3578 47.23 0.0628
126.5625 85.0965 0.4708 0.2200 0.3092 0.00000 7.097 1500.0 12.0 0.0000 0.4246 52.40 0.0628
129.3750 85.0965 0.4736 0.2180 0.3084 0.00000 7.069 1500.0 12.0 0.0000 0.4707 57.98 0.0628
132.1875 85.0965 0.4636 0.2286 0.3078 0.00000 7.144 1500.0 12.0 0.0000 0.5254 65.01 0.0628
135.0000 85.0965 0.4982 0.2024 0.2994 0.00000 6.800 1500.0 12.0 0.0000 0.4797 58.07 0.0628
137.8125 85.0965 0.4890 0.2079 0.3031 0.00000 6.903 1500.0 12.0 0.0000 0.3870 47.16 0.0628
140.6250 85.0965 0.4101 0.2554 0.3345 0.00000 7.787 1500.0 12.0 0.0000 0.3070 39.55 0.0628
