# Vesper carve verdict, first pass
#
# Produced from a converged ExoPlaSim climatology: T21,
# 0.945 S-Earth, vegetated land surface, glaciers enabled,
# 281.06 K, climatology baseline_regular_climatology.nc.
# Terrain 4884dc8a6120bf56, basin catalogue unchanged.
#
# A basin overflows when more water arrives than its lake surface can evaporate,
#     Q = runoff * (catchment - area_at_spill) - (E - P) * area_at_spill  >  0
# and retain is then what that Q can cut against how deep the basin is,
#     retain = 1 - 269.4 * erodibility * slope^1 * Q^0.5 / depth_at_spill
# in metres, where slope is the outlet channel's own gradient relative to the
# population's, and the coefficient is solved against the density of Earth's own
# standing through-flowing impounded basins rather than declared. Open-water
# evaporation is the Penman combination equation with water's albedo and
# roughness, validated against the model over ocean cells to within
# 15.1%.
# Catchment runoff is precipitation minus evaporation over the catchment; see the sidecar.
#
#   retain 1.0   4421 basins  closed: the lake surface evaporates all that arrives
#   retain 0<r<1   41 basins  a notch: the outlet is cut, but not to the floor
#   retain 0.0    195 basins  carved
#                               0 of them carried forward,  195 decided here
#
#   16 of the entries above hold no water at spill at all: the
# drainage conditioning took their rim down to their floor, and the catalogue
# publishes them as preserved anyway. 2 of them carve here, on the 1 m
# depth guard rather than on a water balance. notes/audits/basin-catalogue-floor.md.
#
# The counts above are of the whole 4657-entry catalogue. This pass could
# only decide the 4657 basins the current build still has; the rest were
# carved by an earlier pass and are held at 0 to keep the loop monotone.
#
# THE BASIS. retain here is a fraction of the depression's NATURAL spill depth,
# in the generator's dimensionless elevation parameter -- the depth
# buildBasinProtection spends (1 - retain) against, and the only depth that
# exists when protection is built. The incision above is a LENGTH in metres
# against the FINISHED depression, so it is converted before it is written:
#     retain = 1 - (1 - retain_finished) * retainedFraction
# using this build's own natural-to-final ratio as the estimate of the next
# generation's. Both endpoints pass through exactly, and the sidecar carries
# the ratio's population spread as the bracket on that estimate.
#   17 entries had no ratio to convert with and are all at retain 0.
#
# Carved basins are listed explicitly at retain 0, so this file is the
# complete verdict.
#
# id                                    retain

orogen-basin-r2fjva-19qmz9g            1.0000
orogen-basin-r2ebtp-1dig5vo            1.0000
orogen-basin-r3zjvx-1v8bqvl            1.0000
orogen-basin-r2mgnd-dj658n             1.0000
orogen-basin-r46w4n-88cttg             1.0000
orogen-basin-r26iu8-1amc9fi            1.0000
orogen-basin-r55ij2-1k43x2q            1.0000
orogen-basin-r2e0as-1e1e3jp            1.0000
orogen-basin-r1uqhp-1nswc4             1.0000
orogen-basin-r5inlo-19v2d5m            1.0000
orogen-basin-r15cpp-174npeb            1.0000
orogen-basin-r52xgn-tegmah             1.0000
orogen-basin-r10vej-porv8j             1.0000
orogen-basin-rsj0u-1mac143             1.0000
orogen-basin-r2ld9-gbz7qv              1.0000
orogen-basin-r3am81-1136466            1.0000
orogen-basin-r5cj0c-1h6ibwi            1.0000
orogen-basin-r2ck4r-280mq3             1.0000
orogen-basin-r1qpr1-xd8y0r             1.0000
orogen-basin-r2ywok-1fdsdqm            1.0000
orogen-basin-r5gaeu-iy46ox             1.0000
orogen-basin-r36trn-x9fa8d             1.0000
orogen-basin-r28ywq-43hzu5             1.0000
orogen-basin-r4lprv-hxcqlx             1.0000
orogen-basin-r5iqsz-9ey4af             1.0000
orogen-basin-r5h248-13z3luq            1.0000
orogen-basin-rp7ll-g0y9md              1.0000
orogen-basin-rkrxh-1ik5ys8             1.0000
orogen-basin-r26t2y-1onvkb5            1.0000
orogen-basin-r1o617-10grud             1.0000
orogen-basin-r35pe6-1xz2y8s            1.0000
orogen-basin-ry8m5-1in23wi             1.0000
orogen-basin-r3yq8u-1q32yyo            1.0000
orogen-basin-r2njin-1un4gg3            1.0000
orogen-basin-r2btwm-ywhwzy             1.0000
orogen-basin-r4prux-1hop56p            1.0000
orogen-basin-r1v5sw-q78ueb             1.0000
orogen-basin-r4xb1s-r0yjw8             1.0000
orogen-basin-r2q9ng-1u1b4ev            1.0000
orogen-basin-r3xdql-9auvc4             1.0000
orogen-basin-r5hxm7-nya0hr             1.0000
orogen-basin-r4xck9-1iuuigx            1.0000
orogen-basin-rpimy-4uc5yb              1.0000
orogen-basin-r5g0md-8b9865             1.0000
orogen-basin-r55hpm-1he7hz9            1.0000
orogen-basin-r13oeu-1vt3lc8            1.0000
orogen-basin-r17qm5-1mpb4l8            1.0000
orogen-basin-r46nqy-bymvnh             1.0000
orogen-basin-r2m7i-owr6do              1.0000
orogen-basin-r267ck-1uvxr7l            1.0000
orogen-basin-r2wzgn-19fmebd            1.0000
orogen-basin-r3oxsy-3t5ahr             1.0000
orogen-basin-rv997-l63bde              1.0000
orogen-basin-r54pn4-1ltbzde            1.0000
orogen-basin-r4y5tm-2m7prr             1.0000
orogen-basin-r3o0e2-zlhqvk             1.0000
orogen-basin-r2uxiz-1xof3x9            1.0000
orogen-basin-r83dr-1ayp5ev             1.0000
orogen-basin-r5h6yi-1se6p04            1.0000
orogen-basin-r4x2u3-1y54cfh            1.0000
orogen-basin-r5s1yt-1woxct9            1.0000
orogen-basin-rsrte-gx1bpd              1.0000
orogen-basin-r4qsmp-n8d227             1.0000
orogen-basin-r24t89-1h7pfxe            1.0000
orogen-basin-r39nkb-ouvsw4             1.0000
orogen-basin-r2qxw7-16r8gd9            1.0000
orogen-basin-r49haz-4qfo72             1.0000
orogen-basin-r526v8-z16tmm             1.0000
orogen-basin-r3ygws-1smlymu            1.0000
orogen-basin-rt3lv-1p8asev             1.0000
orogen-basin-r97p3-2ma3tp              1.0000
orogen-basin-rkf0x-1pa68u8             1.0000
orogen-basin-r5nlrn-1avn16h            1.0000
orogen-basin-r4ucfb-1e3mmht            1.0000
orogen-basin-r4lh81-14hji2g            1.0000
orogen-basin-r5dmfk-sw5863             1.0000
orogen-basin-r4r9kc-jz4bmt             1.0000
orogen-basin-r4kkzh-1cy6nms            1.0000
orogen-basin-r17zni-1iipdcm            1.0000
orogen-basin-r1mgt-15wba5d             1.0000
orogen-basin-r56a0-1kyxlsk             1.0000
orogen-basin-r4gjai-1ti3b4e            1.0000
orogen-basin-r31pm1-dsznui             1.0000
