Lon Lat sand clay silt orgc ph bulkdensity cn soilc depth awc bedrockfrac
-25.3125 87.8638 0.3494 0.2920 0.3586 0.00000 8.453 1500.0 12.0 0.0000 0.2165 29.04 0.0628
-22.5000 87.8638 0.3935 0.2654 0.3411 0.00000 7.957 1500.0 12.0 0.0000 0.2265 29.51 0.0628
-19.6875 87.8638 0.4429 0.2357 0.3215 0.00000 7.404 1500.0 12.0 0.0000 0.2398 30.20 0.0628
-16.8750 87.8638 0.4161 0.2518 0.3321 0.00000 7.704 1500.0 12.0 0.0000 0.2435 31.24 0.0628
-11.2500 87.8638 0.4696 0.2196 0.3108 0.00000 7.104 1500.0 12.0 0.0000 0.2666 32.95 0.0628
-8.4375 87.8638 0.4982 0.2024 0.2994 0.00000 6.783 1500.0 12.0 0.0000 0.2814 34.07 0.0628
-5.6250 87.8638 0.4982 0.2023 0.2994 0.00000 6.783 1500.0 12.0 0.0000 0.2911 35.24 0.0628
-2.8125 87.8638 0.4982 0.2024 0.2994 0.00000 6.782 1500.0 12.0 0.0000 0.3027 36.65 0.0628
39.3750 85.0965 0.6146 0.1446 0.2409 0.00000 6.557 1500.0 12.0 0.0000 1.6281 179.07 0.0628
42.1875 85.0965 0.6569 0.1235 0.2196 0.00000 6.473 1500.0 12.0 0.0000 2.2446 237.84 0.0628
45.0000 85.0965 0.5928 0.1657 0.2415 0.00000 6.826 1500.0 12.0 0.0000 1.6077 179.00 0.0628
47.8125 85.0965 0.5226 0.2170 0.2604 0.00000 7.352 1500.0 12.0 0.0000 1.2084 141.23 0.0628
50.6250 85.0965 0.4868 0.2402 0.2730 0.00000 7.607 1500.0 12.0 0.0000 1.0146 121.64 0.0628
53.4375 85.0965 0.5189 0.2110 0.2701 0.00000 7.437 1500.0 12.0 0.0000 1.0583 124.64 0.0628
56.2500 85.0965 0.6487 0.1276 0.2237 0.00000 6.493 1500.0 12.0 0.0000 1.5808 168.72 0.0628
59.0625 85.0965 0.6500 0.1270 0.2231 0.00000 6.493 1500.0 12.0 0.0000 1.5260 162.70 0.0628
61.8750 85.0965 0.6195 0.1442 0.2364 0.00000 6.733 1500.0 12.0 0.0000 1.2980 141.97 0.0628
64.6875 85.0965 0.5781 0.1675 0.2544 0.00000 7.057 1500.0 12.0 0.0000 1.0777 121.91 0.0628
67.5000 85.0965 0.5010 0.2104 0.2885 0.00000 7.621 1500.0 12.0 0.0000 0.8140 97.80 0.0628
70.3125 85.0965 0.4416 0.2423 0.3161 0.00000 7.945 1500.0 12.0 0.0000 0.6428 80.75 0.0628
73.1250 85.0965 0.3941 0.2670 0.3389 0.00000 8.131 1500.0 12.0 0.0000 0.5370 69.85 0.0628
75.9375 85.0965 0.3275 0.3078 0.3646 0.00000 8.936 1500.0 12.0 0.0000 0.5196 70.60 0.0628
78.7500 85.0965 0.3200 0.3103 0.3696 0.00000 8.845 1500.0 12.0 0.0000 0.4931 67.39 0.0628
81.5625 85.0965 0.3962 0.2652 0.3386 0.00000 8.058 1500.0 12.0 0.0000 0.5404 70.22 0.0628
84.3750 85.0965 0.4491 0.2326 0.3183 0.00000 7.407 1500.0 12.0 0.0000 0.5657 70.90 0.0628
87.1875 85.0965 0.3952 0.2644 0.3404 0.00000 7.951 1500.0 12.0 0.0000 0.5646 73.46 0.0628
90.0000 85.0965 0.4205 0.2492 0.3304 0.00000 7.668 1500.0 12.0 0.0000 0.5418 69.30 0.0628
92.8125 85.0965 0.3954 0.2643 0.3404 0.00000 7.949 1500.0 12.0 0.0000 0.5033 65.48 0.0628
95.6250 85.0965 0.4119 0.2570 0.3311 0.00000 7.742 1500.0 12.0 0.0000 0.4781 61.42 0.0628
98.4375 85.0965 0.4042 0.2623 0.3335 0.00000 7.822 1500.0 12.0 0.0000 0.4518 58.32 0.0628
101.2500 85.0965 0.4383 0.2491 0.3126 0.00000 7.381 1500.0 12.0 0.0000 0.4315 54.19 0.0628
104.0625 85.0965 0.4558 0.2352 0.3090 0.00000 7.212 1500.0 12.0 0.0000 0.4260 52.94 0.0628
106.8750 85.0965 0.4982 0.2024 0.2994 0.00000 6.795 1500.0 12.0 0.0000 0.5225 63.26 0.0628
109.6875 85.0965 0.4911 0.2066 0.3022 0.00000 6.873 1500.0 12.0 0.0000 0.5120 62.30 0.0628
112.5000 85.0965 0.4394 0.2378 0.3228 0.00000 7.452 1500.0 12.0 0.0000 0.4945 62.42 0.0628
115.3125 85.0965 0.4273 0.2450 0.3276 0.00000 7.587 1500.0 12.0 0.0000 0.4953 63.05 0.0628
118.1250 85.0965 0.3878 0.2689 0.3433 0.00000 8.030 1500.0 12.0 0.0000 0.4957 64.82 0.0628
120.9375 85.0965 0.3503 0.3042 0.3455 0.00000 8.349 1500.0 12.0 0.0000 0.4033 53.70 0.0628
123.7500 85.0965 0.3643 0.2947 0.3410 0.00000 8.203 1500.0 12.0 0.0000 0.4342 57.33 0.0628
126.5625 85.0965 0.4708 0.2200 0.3092 0.00000 7.094 1500.0 12.0 0.0000 0.6207 76.59 0.0628
129.3750 85.0965 0.4736 0.2180 0.3084 0.00000 7.066 1500.0 12.0 0.0000 0.6947 85.56 0.0628
