Lon Lat b theta_s theta_fc theta_wp awc_mm u00 u01 u02 u03 u04 u05 u06 u07 u08 u09 u10 u11 u12 u13 u14
-56.2500 85.7606 7.71635 0.442104 0.357527 0.192091 111.026 1.000000 1.000000 1.000000 1.000000 1.000000 0.206342 0.167200 0.167200 0.167200 0.167200 0.167200 0.167200 0.167200 0.167200 0.167200
-50.6250 85.7606 7.88183 0.444254 0.363166 0.197682 121.088 1.000000 1.000000 1.000000 1.000000 1.000000 0.711618 0.178400 0.178400 0.178400 0.178400 0.178400 0.178400 0.178400 0.178400 0.178400
-45.0000 85.7606 7.61308 0.441020 0.354480 0.188856 141.604 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.202899 0.192400 0.192400 0.192400 0.192400 0.192400 0.192400 0.192400
-39.3750 85.7606 7.09505 0.434806 0.337086 0.171519 148.236 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.518230 0.205000 0.205000 0.205000 0.205000 0.205000 0.205000 0.205000
50.6250 80.2688 6.82608 0.434455 0.333431 0.165202 171.812 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.529501 0.136700 0.136700 0.136700 0.136700 0.136700
56.2500 80.2688 6.60103 0.434729 0.331356 0.160290 191.479 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.678490 0.128700 0.128700 0.128700 0.128700
61.8750 80.2688 6.24606 0.431013 0.319165 0.148150 181.611 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.247273 0.093100 0.093100 0.093100 0.093100
67.5000 80.2688 6.90187 0.440456 0.346556 0.173034 137.680 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.494849 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
73.1250 80.2688 7.67230 0.446646 0.366355 0.196133 95.593 1.000000 1.000000 1.000000 1.000000 0.987816 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
78.7500 80.2688 6.90079 0.437704 0.340870 0.170177 115.199 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.246491 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
84.3750 80.2688 7.07310 0.441594 0.350650 0.178047 109.144 1.000000 1.000000 1.000000 1.000000 1.000000 0.758202 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
90.0000 80.2688 6.85855 0.437875 0.340763 0.169397 90.390 1.000000 1.000000 1.000000 1.000000 0.646676 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
95.6250 80.2688 6.92566 0.438273 0.342303 0.171319 89.099 1.000000 1.000000 1.000000 1.000000 0.582946 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
101.2500 80.2688 6.77568 0.435245 0.334459 0.164848 86.015 1.000000 1.000000 1.000000 1.000000 0.443303 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
106.8750 80.2688 7.28880 0.438388 0.346224 0.179362 113.882 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.124096 0.087600 0.087600 0.087600 0.087600 0.087600 0.087600 0.087600 0.087600
112.5000 80.2688 7.88033 0.445785 0.366228 0.199326 124.290 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.555700 0.111400 0.111400 0.111400 0.111400 0.111400 0.111400 0.111400 0.111400
118.1250 80.2688 7.38502 0.440616 0.351625 0.183727 138.668 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.395954 0.123300 0.123300 0.123300 0.123300 0.123300 0.123300 0.123300
123.7500 80.2688 7.21284 0.438282 0.345266 0.177631 135.739 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.160652 0.133800 0.133800 0.133800 0.133800 0.133800 0.133800 0.133800
129.3750 80.2688 7.09376 0.436436 0.340339 0.173153 167.675 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.321785 0.141500 0.141500 0.141500 0.141500 0.141500
135.0000 80.2688 6.96577 0.434854 0.335792 0.168732 202.128 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.658720 0.146800 0.146800 0.146800
140.6250 80.2688 6.87785 0.432820 0.330734 0.164734 209.757 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.328197 0.153900 0.153900
146.2500 80.2688 6.21984 0.423083 0.302856 0.140126 198.114 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.698009 0.158800 0.158800 0.158800
151.8750 80.2688 5.95345 0.419473 0.291655 0.130370 182.160 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.641807 0.163100 0.163100 0.163100 0.163100
157.5000 80.2688 6.85733 0.434310 0.333493 0.165762 180.254 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.894641 0.170400 0.170400 0.170400 0.170400 0.170400
163.1250 80.2688 6.59474 0.433245 0.328247 0.158676 172.043 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.253257 0.178500 0.178500 0.178500 0.178500 0.178500
168.7500 80.2688 6.78493 0.434395 0.332839 0.164208 171.573 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.204478 0.194000 0.194000 0.194000 0.194000 0.194000
174.3750 80.2688 7.34807 0.440303 0.350650 0.182621 183.113 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.836158 0.212300 0.212300 0.212300 0.212300 0.212300
180.0000 80.2688 7.43906 0.440802 0.352496 0.185053 183.019 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.768185 0.232400 0.232400 0.232400 0.232400 0.232400
-174.3750 80.2688 6.72059 0.430080 0.323416 0.158484 181.883 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.782239 0.249100 0.249100 0.249100 0.249100 0.249100
