Lon Lat sand clay silt orgc ph bulkdensity cn soilc depth awc bedrockfrac andic pfixation cec allophane polyvalent
-5.6250 85.7606 0.6023 0.1461 0.2516 0.00000 5.220 1500.0 12.0 0.0000 0.1086 12.10 0.0628 0.0000 0.0000 7.665 0.00000 2.889
0.0000 80.2688 0.5832 0.1443 0.2724 0.00000 6.424 1500.0 12.0 0.0000 0.2482 28.32 0.0628 0.0000 0.0004 8.338 0.00001 4.919
5.6250 80.2688 0.5435 0.1452 0.3112 0.00000 6.670 1499.9 12.0 0.0000 0.2385 28.43 0.0628 0.0001 0.0012 8.547 0.00002 5.042
11.2500 80.2688 0.5148 0.1615 0.3238 0.00000 6.781 1499.9 12.0 0.0000 0.2472 30.11 0.0628 0.0001 0.0013 9.582 0.00002 5.653
16.8750 80.2688 0.5718 0.1155 0.3127 0.00000 6.061 1499.8 12.0 0.0000 0.2813 33.09 0.0628 0.0001 0.0019 6.490 0.00003 3.829
22.5000 80.2688 0.5054 0.1729 0.3217 0.00000 6.277 1499.9 12.0 0.0000 0.1971 24.09 0.0628 0.0001 0.0010 9.878 0.00002 5.828
28.1250 80.2688 0.5492 0.1344 0.3164 0.00000 5.694 1499.8 12.0 0.0000 0.2667 31.80 0.0628 0.0001 0.0016 7.332 0.00003 4.326
33.7500 80.2688 0.5311 0.1598 0.3091 0.00000 5.712 1499.9 12.0 0.0000 0.2317 27.76 0.0628 0.0001 0.0009 8.731 0.00001 5.151
39.3750 80.2688 0.5125 0.1681 0.3194 0.00000 5.661 1499.9 12.0 0.0000 0.2127 25.87 0.0628 0.0001 0.0009 9.145 0.00002 5.396
45.0000 80.2688 0.5222 0.1608 0.3169 0.00000 5.550 1499.9 12.0 0.0000 0.1822 22.02 0.0628 0.0001 0.0011 8.673 0.00002 5.117
50.6250 80.2688 0.4439 0.2310 0.3251 0.00000 7.808 1500.0 12.0 0.0000 0.1222 15.42 0.0628 0.0000 0.0001 14.749 0.00000 8.702
56.2500 80.2688 0.4539 0.2089 0.3371 0.00000 7.726 1499.9 12.0 0.0000 0.1947 24.61 0.0628 0.0001 0.0010 13.266 0.00002 7.827
61.8750 80.2688 0.4869 0.1905 0.3225 0.00000 7.855 1499.9 12.0 0.0000 0.2247 27.72 0.0628 0.0001 0.0010 12.206 0.00002 7.201
67.5000 80.2688 0.4119 0.2327 0.3555 0.00000 7.999 1500.0 12.0 0.0000 0.2990 38.92 0.0628 0.0000 0.0001 15.053 0.00000 8.881
73.1250 80.2688 0.3543 0.2797 0.3660 0.00000 8.161 1500.0 12.0 0.0000 0.2497 33.55 0.0628 0.0000 0.0000 18.296 0.00000 10.795
78.7500 80.2688 0.4396 0.2277 0.3327 0.00000 8.173 1500.0 12.0 0.0000 0.2653 33.67 0.0628 0.0000 0.0000 14.903 0.00000 8.793
84.3750 80.2688 0.4612 0.2108 0.3281 0.00000 8.163 1500.0 12.0 0.0000 0.2389 29.94 0.0628 0.0000 0.0000 13.788 0.00000 8.135
90.0000 80.2688 0.4604 0.2173 0.3222 0.00000 8.053 1500.0 12.0 0.0000 0.1116 13.95 0.0628 0.0000 0.0000 14.113 0.00000 8.327
95.6250 80.2688 0.4644 0.2169 0.3187 0.00000 8.071 1500.0 12.0 0.0000 0.0969 12.06 0.0628 0.0000 0.0000 14.100 0.00000 8.319
101.2500 80.2688 0.4889 0.2063 0.3048 0.00000 8.045 1500.0 12.0 0.0000 0.0735 10.00 0.0628 0.0000 0.0000 13.386 0.00000 7.897
106.8750 80.2688 0.4094 0.2647 0.3259 0.00000 8.100 1500.0 12.0 0.0000 0.0540 10.00 0.0628 0.0000 0.0000 17.240 0.00000 10.172
112.5000 80.2688 0.3464 0.2984 0.3552 0.00000 8.017 1500.0 12.0 0.0000 0.0489 10.00 0.0628 0.0000 0.0000 19.332 0.00000 11.406
118.1250 80.2688 0.3906 0.2673 0.3422 0.00000 7.971 1500.0 12.0 0.0000 0.0519 10.00 0.0628 0.0000 0.0000 17.257 0.00000 10.181
123.7500 80.2688 0.4409 0.2355 0.3237 0.00000 7.943 1500.0 12.0 0.0000 0.0621 10.00 0.0628 0.0000 0.0000 15.175 0.00000 8.953
129.3750 80.2688 0.4637 0.2239 0.3124 0.00000 7.955 1500.0 12.0 0.0000 0.0852 10.56 0.0628 0.0000 0.0000 14.442 0.00000 8.521
135.0000 80.2688 0.4476 0.2346 0.3179 0.00000 8.005 1500.0 12.0 0.0000 0.1229 15.41 0.0628 0.0000 0.0000 15.182 0.00000 8.958
140.6250 80.2688 0.4676 0.2247 0.3077 0.00000 8.044 1500.0 12.0 0.0000 0.1858 22.95 0.0628 0.0000 0.0000 14.582 0.00000 8.603
146.2500 80.2688 0.5372 0.1886 0.2742 0.00000 8.098 1500.0 12.0 0.0000 0.2587 30.26 0.0628 0.0000 0.0000 12.285 0.00000 7.248
151.8750 80.2688 0.5645 0.1735 0.2620 0.00000 8.064 1500.0 12.0 0.0000 0.2386 27.31 0.0628 0.0000 0.0000 11.276 0.00000 6.653
157.5000 80.2688 0.4466 0.2274 0.3260 0.00000 7.980 1500.0 12.0 0.0000 0.2070 26.09 0.0628 0.0000 0.0000 14.694 0.00000 8.669
163.1250 80.2688 0.4521 0.2127 0.3351 0.00000 7.968 1499.9 12.0 0.0000 0.1956 24.72 0.0628 0.0000 0.0005 13.734 0.00001 8.103
