 Wavelength    Flux  
0.288558571977185 0.00536599956784103
0.2889312772871544 0.005421141780547793
0.28930446398725246 0.004934662257737109
0.28967813269924775 0.011860166692857473
0.2900522840457119 0.012681514889978505
0.29042691865002074 0.015557640344005998
0.2908020371363552 0.011622193937590956
0.2911776401297025 0.006039918519323866
0.2915537282558569 0.015375921625133458
0.29193030214142124 0.010543456831239816
0.29230736241380745 0.010912851918190107
0.29268490970123784 0.00828397740496238
0.2930629446327463 0.012103505648003778
0.29344146783817904 0.00831263562083357
0.2938204799481959 0.004001847833095208
0.2941999815942711 0.00588372943385071
0.2945799734086947 0.006564509561548043
0.29496045602457327 0.006646125492309805
0.29534143007583125 0.006514562452856425
0.2957228961972117 0.006637236052644769
0.2961048550242777 0.012524628099714214
0.29648730719341304 0.005226883727979354
0.2968702533418236 0.0026286089826145463
0.29725369410753827 0.003412617540991652
0.29763763012941 0.012254196861816575
0.2980220620471169 0.007625405746413054
0.2984069905011632 0.0027658727185593704
0.29879241613288066 0.006281774062848454
0.2991783395844291 0.007728825208475723
0.29956476149879785 0.003560393487232294
0.2999516825198069 0.0037818734064904024
0.3003391032921076 0.003361691397645725
0.3007270244611841 0.004427204168853695
0.30111544667335405 0.004875949804924207
0.3015043705757701 0.005717953749362765
0.3018937968164207 0.001977119587383211
0.30228372604413123 0.0029107268373106633
0.302674158908565 0.0053827490335034735
0.30306509606022475 0.007550343728293915
0.30345653815045304 0.011915066947880122
0.3038484858314339 0.003994063971746474
0.30424093975619376 0.005677122210995329
0.3046339005786024 0.004618110453870906
0.30502736895337423 0.005944215931329733
0.30542134553606926 0.007263503512292135
0.30581583098309423 0.002916003956754482
0.3062108259517036 0.013007963922894402
0.306606331100001 0.007879903915340887
0.3070023470869399 0.02679315577876908
0.30739887457232484 0.012349625208002491
0.3077959142168126 0.014988759248645244
0.30819346668191344 0.005675762468806493
0.3085915326299918 0.022495912535444473
0.30899011272426774 0.010592594922795042
0.309389207628818 0.006618853041540257
0.3097888180085769 0.006126330522038363
0.3101889445293377 0.006502083776779281
0.3105895878577537 0.023052134179881452
0.310990748661339 0.03181208430702135
0.3113924276084701 0.0326758702621486
0.31179462536838665 0.025562018606479858
