Lon Lat sand clay silt orgc ph bulkdensity cn soilc depth awc bedrockfrac andic pfixation
-168.7500 87.8638 0.4072 0.2510 0.3418 0.00000 7.450 1500.0 12.0 0.0000 0.1504 19.48 0.0628 0.0000 0.0000
-165.9375 87.8638 0.3629 0.2697 0.3674 0.00000 7.453 1500.0 12.0 0.0000 0.1758 23.54 0.0628 0.0000 0.0000
-163.1250 87.8638 0.3883 0.2550 0.3566 0.00000 7.210 1500.0 12.0 0.0000 0.1702 22.42 0.0628 0.0000 0.0000
-160.3125 87.8638 0.3134 0.2834 0.4032 0.00000 7.021 1500.0 12.0 0.0000 0.2993 41.73 0.0628 0.0000 0.0000
-157.5000 87.8638 0.3464 0.2778 0.3758 0.00000 7.529 1500.0 12.0 0.0000 0.1677 22.72 0.0628 0.0000 0.0000
-154.6875 87.8638 0.3614 0.2596 0.3790 0.00000 6.804 1500.0 12.0 0.0000 0.2333 31.46 0.0628 0.0000 0.0000
-151.8750 87.8638 0.3345 0.2926 0.3729 0.00000 7.599 1500.0 12.0 0.0000 0.1550 21.09 0.0628 0.0000 0.0000
-149.0625 87.8638 0.3701 0.2561 0.3738 0.00000 6.831 1500.0 12.0 0.0000 0.2037 27.29 0.0628 0.0000 0.0000
-146.2500 87.8638 0.3255 0.2883 0.3862 0.00000 7.031 1500.0 12.0 0.0000 0.2088 28.71 0.0628 0.0000 0.0000
-143.4375 87.8638 0.3291 0.2770 0.3939 0.00000 6.807 1500.0 12.0 0.0000 0.2526 34.82 0.0628 0.0000 0.0000
-140.6250 87.8638 0.2999 0.2947 0.4054 0.00000 7.051 1500.0 12.0 0.0000 0.2585 36.29 0.0628 0.0000 0.0000
-137.8125 87.8638 0.3624 0.2603 0.3773 0.00000 6.894 1500.0 12.0 0.0000 0.1934 26.04 0.0628 0.0000 0.0000
-135.0000 87.8638 0.3463 0.2629 0.3908 0.00000 6.647 1500.0 12.0 0.0000 0.2635 35.99 0.0628 0.0000 0.0000
-132.1875 87.8638 0.3635 0.2562 0.3803 0.00000 6.665 1500.0 12.0 0.0000 0.2259 30.45 0.0628 0.0000 0.0000
-129.3750 87.8638 0.3238 0.2766 0.3996 0.00000 6.735 1500.0 12.0 0.0000 0.2830 39.21 0.0628 0.0000 0.0000
-126.5625 87.8638 0.3271 0.2829 0.3899 0.00000 7.110 1500.0 12.0 0.0000 0.1957 26.94 0.0628 0.0000 0.0000
-123.7500 87.8638 0.3158 0.2912 0.3929 0.00000 7.608 1500.0 12.0 0.0000 0.1622 22.47 0.0628 0.0000 0.0000
-120.9375 87.8638 0.3135 0.3036 0.3829 0.00000 7.948 1500.0 12.0 0.0000 0.1275 17.59 0.0628 0.0000 0.0000
-118.1250 87.8638 0.3250 0.2950 0.3799 0.00000 7.718 1500.0 12.0 0.0000 0.1300 17.82 0.0628 0.0000 0.0000
-115.3125 87.8638 0.2924 0.3174 0.3902 0.00000 8.177 1500.0 12.0 0.0000 0.1237 17.29 0.0628 0.0000 0.0000
-112.5000 87.8638 0.3063 0.3022 0.3916 0.00000 7.519 1500.0 12.0 0.0000 0.1646 22.88 0.0628 0.0000 0.0000
-109.6875 87.8638 0.3313 0.2888 0.3798 0.00000 7.885 1500.0 12.0 0.0000 0.1241 16.96 0.0628 0.0000 0.0000
-106.8750 87.8638 0.3716 0.2564 0.3720 0.00000 6.944 1500.0 12.0 0.0000 0.1960 26.21 0.0628 0.0000 0.0000
-104.0625 87.8638 0.3798 0.2486 0.3716 0.00000 6.782 1500.0 12.0 0.0000 0.2437 32.47 0.0628 0.0000 0.0000
-101.2500 87.8638 0.4386 0.2184 0.3431 0.00000 6.656 1500.0 12.0 0.0000 0.3050 38.95 0.0628 0.0000 0.0000
-98.4375 87.8638 0.4360 0.2169 0.3471 0.00000 6.574 1500.0 12.0 0.0000 0.3007 38.53 0.0628 0.0000 0.0000
-95.6250 87.8638 0.3699 0.2505 0.3796 0.00000 6.650 1500.0 12.0 0.0000 0.2217 29.79 0.0628 0.0000 0.0000
-92.8125 87.8638 0.3393 0.2716 0.3892 0.00000 6.842 1500.0 12.0 0.0000 0.2637 36.10 0.0628 0.0000 0.0000
-90.0000 87.8638 0.4152 0.2431 0.3416 0.00000 7.153 1500.0 12.0 0.0000 0.2289 29.53 0.0628 0.0000 0.0000
-87.1875 87.8638 0.3985 0.2654 0.3361 0.00000 8.034 1500.0 12.0 0.0000 0.1534 19.88 0.0628 0.0000 0.0000
-84.3750 87.8638 0.5017 0.1992 0.2991 0.00000 6.915 1500.0 12.0 0.0000 0.1953 23.60 0.0628 0.0000 0.0000
-81.5625 87.8638 0.5159 0.1942 0.2900 0.00000 7.360 1500.0 12.0 0.0000 0.1568 18.71 0.0628 0.0000 0.0000
-78.7500 87.8638 0.5314 0.1841 0.2844 0.00000 6.831 1500.0 12.0 0.0000 0.1336 15.77 0.0628 0.0000 0.0000
-75.9375 87.8638 0.4766 0.2154 0.3080 0.00000 7.111 1500.0 12.0 0.0000 0.1234 15.18 0.0628 0.0000 0.0000
-73.1250 87.8638 0.4805 0.2127 0.3067 0.00000 7.005 1500.0 12.0 0.0000 0.1247 15.30 0.0628 0.0000 0.0000
-70.3125 87.8638 0.4294 0.2433 0.3273 0.00000 7.584 1500.0 12.0 0.0000 0.1208 15.36 0.0628 0.0000 0.0000
-67.5000 87.8638 0.3789 0.2758 0.3454 0.00000 8.137 1500.0 12.0 0.0000 0.1182 15.53 0.0628 0.0000 0.0000
-64.6875 87.8638 0.3377 0.2985 0.3639 0.00000 8.616 1500.0 12.0 0.0000 0.1189 16.08 0.0628 0.0000 0.0000
